text	label
i need to switch to a new insurance plan	insurance_change
how long should i fry an egg for	cook_time
what is my annual percentage rate	interest_rate
please put babysitting on my to do list	todo_list_update
roll the five sided die	roll_dice
how many calories are in a bag of regular doritos	calories
to vacation to tel aviv do i need a travel visa	international_visa
can you get me any recommendations for the place i'm traveling to	travel_suggestion
book an oil change please	schedule_maintenance
on tuesday you are supposed to have a meeting	calendar
do i have any remaining pto days	pto_balance
is my phone somewhere around here	find_phone
let me know when it's been 5 minutes	timer
does mexico require an international visa	international_visa
what percentage of gas do i have left	gas
how expensive is it to fuel this car	mpg
check me out on the map	current_location
for friday, add a doctor's appointment to my calendar	calendar_update
i need buy a birthday gift for sue taken off my calendar  it is on monday or tuesday last week	calendar_update
please tell me the reason for the hold on my bb&t account	account_blocked
can you give me instructions on how to make alfredo	recipe
what in the world is my credit rating	credit_score
bring the sound up	change_volume
how many weeks of vacation time do i have	pto_balance
tell me the gas mileage on my car	mpg
is it safe for people to travel to pakistan	travel_alert
you are wrong	no
please increase the speed of your speech, it is too slow	change_speed
rolls have how many calories	calories
how can i take a bus to dallas	directions
what's a good italian meal	meal_suggestion
what is the name of the person who made you	who_made_you
i dropped my card in my gasoline and the printing wore off	damaged_card
can i use sour cream instead of yogurt	ingredient_substitution
activate my furnace please	smart_home
i want directions to phoenix	directions
clear my entire schedule for april 1	calendar_update
the place you were born is	where_are_you_from
my card's magnetic strip is not working and i want to notify them	damaged_card
add this song to my jazz playlist	update_playlist
is butter a substitute for oil	ingredient_substitution
do i have anything on my calendar next sunday	calendar
please tell my bank i'll be in anchorage this week	travel_notification
add everything to my shopping cart	order
what will my state taxes amount to this year	taxes
can you find me a recipe for quiche	recipe
what is the time right now in the peruvian time zone	time
how long do i cook chicken breast	cook_time
how do you report a burned debit card	damaged_card
what do i have planned on my calendar for next sunday	calendar
i need anniversary dinner added to my schedule for march 7	calendar_update
let me know some things to do in phoenix	travel_suggestion
turn on the rap playlist	play_music
what does it take to get a new card	new_card
i want that volume bumped up to 4	change_volume
tell me how to improve my credit score	improve_credit_score
maybe we can go to the next song	next_song
what is the available balance in savings	balance
how long does it take to make pho	cook_time
how to tell the company that my credit card melted	damaged_card
what you age on your last birthday	how_old_are_you
put clean refrigerator on my spring cleaning to do list	todo_list_update
why am i seeing a hold on my boa account	account_blocked
tell me your full name	what_is_your_name
what is the wait time at this restaurant	how_busy
would you tell me when i should replace my tires next if i last replaced them on june 2	tire_change
would i need to buy a plug converter when in rome	plug_type
find a suitable lodging in vancouver on march 16-19	book_hotel
i need to book a roundtrip flight from dallas to los angeles from march 2 to march 10	book_flight
when can i expect to receive the order	order_status
help me get my gas bill paid	pay_bill
call aj now	make_call
how do i know if it is time to replace my tires	tire_change
what is the calorie content of a scoop of chocolate ice cream	calories
please run that by me again	repeat
pull up my shower playlist	play_music
what is life's purpose	meaning_of_life
i lost my card, how should i report that	report_lost_card
what information can you give me on the meaning of life	meaning_of_life
ac temperature is at what	smart_home
what ingredients are in cheese cake	ingredients_list
is it possible for you to read the things on my shopping list	shopping_list
when do i need to pay my car insurance bill by	bill_due
do you know any jokes	tell_joke
should i take a different route to work	traffic
find me a flight from ft lauderdale to houston on southwest	book_flight
will it be okay for me to eat my leftover turkey from monday that's been in my fridge	food_last
when can i expect meal of salmon to be finished	cook_time
does the bus go to the washington monument	directions
what did i spend at the grocery store yesterday	spending_history
when was the last date that i was paid	payday
can i increase the credit limit on my discover card	credit_limit_change
i wanna know your hobbies	what_are_your_hobbies
is almond milk an acceptable substitute for milk	ingredient_substitution
how do you cook apple pie	recipe
tell me something interesting about lake tahoe	fun_fact
i would like to know delta's carry on policy	carry_on
what name do you want me to use	what_is_your_name
tell me if you like cats or dogs	do_you_have_pets
who are the people responsible for you	who_made_you
how much paid time off have i earned to date	pto_balance
hi, i'm john	change_user_name
please tell me where to get the w2	w2
is my apr rate better than most	apr
i must call jordan	make_call
help! i'm a victim of credit card fraud!	report_fraud
tell me when you were born	how_old_are_you
what is the minimum amount due on my cable bill	min_payment
inform me as to how much gas my car has	gas
i want to pay my bill	pay_bill
when will lettuce in the fridge go bad	food_last
did i put unpacking groceries on my to do list	todo_list
can you share some trivia with me about us history	fun_fact
what are the reviews like at minnis	restaurant_reviews
what are the steps i need to follow to make chewy rice krispies treats	recipe
check out my location up on the map	current_location
tell me when today's meeting is supposed to happen	meeting_schedule
how long ago was my car last in the shop	last_maintenance
i'd like to schedule a tire inspection	schedule_maintenance
i am needing to know how low the air in my tires are	tire_pressure
where on the cheerios box are the nutrition facts	nutrition_info
my card became damaged when i dropped it in the parking lot and it got ran over	damaged_card
what is the square root of 36	calculator
what are the details on my health care plan	insurance
submit full payment to chase for my visa bill	pay_bill
i don't want you connected to my phone anymore	sync_device
how long do i cook steak	cook_time
that is not true, it's false	no
do you mind if i ask how old you are	how_old_are_you
how do i find out my tire pressure	tire_pressure
i was using my credit card as a cutting board and accidentally sliced it in half	damaged_card
get a uber for two to go to a romantic dinner at mcdonalds	uber
what's the exchange rate between dollars and pesos	exchange_rate
how healthy is pumpkin pie	nutrition_info
speak it again slowly	change_speed
find out where my phone is	find_phone
please change credit	credit_limit_change
tell me my apr rate	apr
how were you made	who_made_you
how long can i go before i need to change my tires	tire_change
make sure bread gets added to my shopping list	shopping_list_update
march 2nd through march 18th, i'm going to need a jeep in frankfort	car_rental
i want to know my bill's minimum payment	min_payment
i want to eat mediterranean fare with at least four stars, near me	restaurant_suggestion
can you tell me what is 18 percent of $2500	calculator
how can i find the current interest rate for my account ending in 9012	interest_rate
do i have any vacation days to use	pto_balance
i want you to roll a 5 sided dice for me	roll_dice
take paper towels off of my shopping list	shopping_list_update
what does my shopping list say that i should get	shopping_list
how long do the brownies have to cook	cook_time
what is gumbo made of	ingredients_list
is my card's apr a decent rate	apr
tell me all the ways my credit score can get hurt	improve_credit_score
how long does it take for dough in the freezer to go off	food_last
please tell me how much i have spent recently	spending_history
how can i learn how to use direct deposit	direct_deposit
whats this song	what_song
may i suggest we go to the next song	next_song
can you tell me if you are a real live person	are_you_a_bot
what can i ask the ai	what_can_i_ask_you
i need to know why my card got declined	card_declined
let me know what do you call me	user_name
what time is it getting to be	time
what things can i do to increase my credit score	improve_credit_score
i need to know what this song is called	what_song
my checking account needs a new pin number	pin_change
please play the next song on this playlist	next_song
