text	label
give out money	donate
I would like to provide funding to spain	donate
donate for african relief	donate
tell me how to donate please	donate
donate to local schools	donate
how can i send dollars to someone	donate
where do i go to donate to the red cross	donate
donate to seattle	donate
can the virus spread by skin to skin interaction	how does corona spread
how can fecal matter be included with covid 19 spreading	how does corona spread
how is the virus traveling	how does corona spread
can i get covid 19 from kids dirty clothes	how does corona spread
can i get infected by touch a patient	how does corona spread
can i get it if someone sneezes on me	how does corona spread
does corona virus spread from touching someone infected only	how does corona spread
can i get covid 19 from insects	how does corona spread
latest stats on recovery in georgia	latest numbers
what is the projected number of deaths from the virus if we do not socially distance	latest numbers
what are the statistics on countries enforcing mask wearing versus countries that do not	latest numbers
how many children have been affected worldwide	latest numbers
recovery rate in chicago	latest numbers
how many people died yesterday in the yous	latest numbers
how many cases per 100k people in california	latest numbers
what is the death count in south korea	latest numbers
coronavirus myths please	myths
does the vaccine exist in germany	myths
what are the myths about covid	myths
give me some conspiracy theories on coronavirus	myths
tell me some covid 19 myths that have been debunked	myths
is it a myth that covid is worse than the regular flu	myths
is it a myth that my dog can give me covid 19	myths
which myths about coronovirus are actually true	myths
todays coronavirus update please	news and press
what is the lastest news from italy	news and press
send me news updates from the last hour	news and press
news	news and press
please send me the latest updates on covid	news and press
any updates	news and press
what are the most important updates on coronavirus in the world	news and press
what is the most recent news from seattle	news and press
what are the safety measures for a domestic travel	travel
is it safe to ride a bike	travel
what are the best precautions while travelling	travel
what does the cdc recommend for travelers	travel
is there any airline operating these days	travel
are domestic flights cancelled too	travel
travel agents during quarantine	travel
safe travel options	travel
is diarrhea a symptom	what are symptoms
how can i tell if someone has corona virus	what are symptoms
how to tell if a family member has corona virus	what are symptoms
does the covid 19 because diarrhoea	what are symptoms
does coughing up phlem mean i have the corona	what are symptoms
can corona virus because pnumonia	what are symptoms
are the symptoms of covid 19 similar to allergies	what are symptoms
is a fever a symptom of corona virus	what are symptoms
is tamiflu effective against covid	what are treatment options
is the coronavirus curable	what are treatment options
what does the cdc recommend to treat coronavirus	what are treatment options
are there any treatments for covid	what are treatment options
who offers a vaccine for corona virus	what are treatment options
best treatment for corona virus cough	what are treatment options
is there a vaccine for covid	what are treatment options
can i use hydroxycholroquine for novel virus	what are treatment options
list high risk areas for covid 19	what if i visited high risk area
should i get tested after visiting a high risk area	what if i visited high risk area
what do i do if i have to visit a high risk area	what if i visited high risk area
i live in a high risk area what are the chances i have contracted or am a carrier of disease	what if i visited high risk area
can i fly during coronavirus outbreak	what if i visited high risk area
which country is currently the highest risk	what if i visited high risk area
what do i do if i live in a high risk area for coronavirus	what if i visited high risk area
i want an update on the corona virus	what is corona
what is covid 19	what is corona
corona virus what is it	what is corona
give me a summary on corona	what is corona
is there an outline on details regarding covid	what is corona
how does the virus work	what is corona
i want to hear more about the pandemic	what is corona
give me a general update on the corona virus	what is corona
can my dog get the virus	can i get from feces animal pets
what types of animals can spread the virus	can i get from feces animal pets
is the coronavirus disease zoonotic	can i get from feces animal pets
can the blood of an infected animal spread the virus to my kids	can i get from feces animal pets
could the coronavirus mutate over time into strains for dogs or cats	can i get from feces animal pets
do mosquitos carry covid	can i get from feces animal pets
does the virus transmit via pets	can i get from feces animal pets
can covid19 live on bags from the store	can i get from packages surfaces
should i stop getting deliveries	can i get from packages surfaces
can coronavirus get on door handles	can i get from packages surfaces
does covid 19 go away after some time	can i get from packages surfaces
is plastic a carrier of covid 19	can i get from packages surfaces
is there type of material it can not live on	can i get from packages surfaces
how often should i clean my table	can i get from packages surfaces
