text	label
caesar rodriguez is an artist who has worked as a colorist in the comics industry	Artist
saint germain was a 3492 grt train ferry which was built in 1951 by helsing r skibs og maskinbyggeri for sncf she served until 1988 when she was withdrawn from service and scrapped	MeanOfTransportation
corsair memory is an american computer peripherals and hardware company headquartered in fremont california the company was incorporated in california in january 1994 and was reincorporated in delaware in 2007 in january 2010 the company was incorporated again in delaware as corsair components inc	Company
william a redmond was a member of the illinois house of representatives representing portions of dupage county from 1959 until his retirement in 1981 during the 79th 80th and 81st general assemblies he served as speaker of the house	OfficeHolder
jerry 's enterprises inc is an operator of county market cub foods jerry 's foods and save a lot grocery stores headquartered in edina minnesota	Company
ginger pye is a book by eleanor estes about a dog named ginger pye the book was originally published in 1951 and it won the newbery medal for excellence in american children 's literature in 1952	WrittenWork
fires of winter is a novel by johanna lindsey originally published in september 1980 by avon books it is the first book in the haardrad family saga series plot: the viking invaders came from across an icy sea taking lady brenna as their captive	WrittenWork
avatar press is an independent american publisher of comic books founded in 1996 by william a christensen and based in rantoul illinois avatar initially published only mini series they subsequently expanded to other formats currently avatar publishes several ongoing series	Company
symplocos hispidula is a species of plant in the symplocaceae family it is endemic to sri lanka	Plant
the world at night  1996  is a novel by alan furst	WrittenWork
earth in flower is a comprehensive historical analysis of southeast asia s most esoteric female performing art: the ancient khmer classical dance formerly known as the royal ballet of cambodia	WrittenWork
anotoceras is a smooth shelled discoidal ammonite with a depressed subtrigonal whorl section and ceratitic sutures included in the ceratitid family otoceratidae anotoceras comes from the lower triassic of the himalaya	Animal
bo tjanov let is a novel by slovenian author florjan lipu it was first published in 2003	WrittenWork
iodo   is a 1977 south korean mystery film directed by kim ki young and based on the 1974 novel of the same title by lee cheong jun it was shown at the 28th berlin international film festival	Film
ulfenbach is a river of baden w rttemberg germany	NaturalPlace
morningstar inc is an investment research firm headquartered in chicago illinois united states	Company
bulbophyllum alagense is a species of orchid in the genus bulbophyllum	Plant
the t r kelly house at 164 w 200 south in springville utah united states was built in 1903 it was listed on the national register of historic places in 1993 according to architectural historian deborah r	Building
leyland victory mk2 is a front engine double decker bus chassis that was built by leyland between 1978 and 1981	MeanOfTransportation
parachrysina borealis is a beetle of the family scarabaeidae	Animal
the sebe river is a tributary of the olt river in romania it starts at the junction of headwaters iganu and buzduganu	NaturalPlace
workers' daily  chinese: pinyin: g ngr n r b o lit worker 's daily  is a simplified chinese language newspaper nationwide in china with the circulation of 960000 the newspaper has been published since 1946 reporting economic news in china	WrittenWork
neoscaptia albicollis is a moth of the arctiidae family it was described by rothschild in 1912 it is found in papua new guinea	Animal
fred olsen co is a shipping company based in oslo norway the company was founded by petter olsen in 1848 today it is the holding company that controls the olsen family 's interest through bonheur and ganger rolf	Company
hmas launceston  acpb 94  is an armidale class patrol boat of the royal australian navy  ran 	MeanOfTransportation
bhavna makwana is a member of legislative assembly from talaja constituency in gujarat for its 12th legislative assembly	OfficeHolder
jennifer paige  born september 3 1973  is an american singer songwriter she is best known for the 1998 pop hit crush	Artist
the essex county park commission administration building is located in newark essex county new jersey united states the building was built in 1916 and was added to the national register of historic places on november 11 1977	Building
in taxonomy trichosolen is a genus of algae specifically of the bryopsidaceae	Plant
cathy ann bencivengo  born august 24 1958 in teaneck new jersey  is a united states district judge for the united states district court for the southern district of california	OfficeHolder
mercator or the merchant is a latin comedic play for the early roman theatre by titus maccius plautus it is based on a greek play by the playwright philemon	WrittenWork
ratac or ratac abbey  italian: santa maria de rotezo serbian:  was a fortified monastic complex on the coast of the peninsula between bar and sutomore in modern day montenegro	Building
bounty  popularly hms bounty  was an enlarged reconstruction of the original 1787 royal navy sailing ship hms bounty built in lunenburg nova scotia in 1960 she sank off the coast of north carolina during hurricane sandy on 29 october 2012	MeanOfTransportation
the man from saigon is 2009 novel by marti leimbach it was published in the united kingdom by fourth estate in 2009 and in the united states by nan a talese random house in 2010	WrittenWork
byttneria flexuosa is a species of flowering plant in the sterculiaceae family it is found only in ecuador its natural habitat is subtropical or tropical moist montane forests	Plant
leymus is a genus of the true grass family  poaceae  the common name for this genus is wild rye however members of the genus elymus are also sometimes given the same common name about 30 species of leymus have been identified	Plant
the akaflieg darmstadt d 39 was a single seat motor glider derived from the d 38 sailplane built in germany in the late 1970s it was not intended for production and only one was constructed	MeanOfTransportation
