text	label
I deposited some money, but the balance has not changed.	balance_not_updated_after_cheque_or_cash_deposit
Please tell me where I can update my details since I moved.	edit_personal_details
I seem to have a problem here, I bought something about a 2 weeks ago and just now received the payment back into my account and I've already received the item. Can you tell me what is going on here?	reverted_card_payment?
Do you accept cheques for top-up?	top_up_by_cash_or_cheque
How do I cancel a transfer?	cancel_transfer
Can I use the app without my phone?	lost_or_stolen_phone
What's the process for topping up by card?	topping_up_by_card
I need to set up an account for my daughter, how would I do that?	age_limit
Why wouldn't the ATM give me cash?	declined_cash_withdrawal
What is the maximum transactions for one disposable card?	disposable_card_limits
Trouble with my top up	top_up_failed
How come my transfer got declined	declined_transfer
What is this extra fee while I was doing a transfer?	transfer_fee_charged
Are there specific ATM's I can use with this card?	atm_support
I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.	pending_top_up
How can I get a refund for an item I purchased but has not yet arrived?	request_refund
I tried to make a transfer like five different times. Why won't your system let me? Is it broke?	failed_transfer
Is a new debit card free?	getting_spare_card
I was overcharged a pound.	extra_charge_on_statement
I placed a cheque but the funds aren't there	balance_not_updated_after_cheque_or_cash_deposit
There is something wrong with my card. Tried to use it a few times today in different places and it just didn't work. The transactions I tried to make were really small so not sure what's going on	card_not_working
I purchased something overseas and the incorrect exchange rate was applied.	card_payment_wrong_exchange_rate
How do I use American express to top up my account?	supported_cards_and_currencies
I need two cards. Is this possible?	getting_spare_card
Supported countries	country_support
My card keeps getting declined when I try to use it.  I would like to top-up, but it is not going though.	top_up_failed
My transfer failed, why?	failed_transfer
Who can have access to top up my account?	topping_up_by_card
What are the auto-top up policies?	automatic_top_up
why wouldnt the atm give me money	declined_cash_withdrawal
I didn't mean to do the transfer, is there any way to cancel it?	cancel_transfer
Why are my transfers not going through.  I have tried over 4 times to get it to work.  This is just a simple transfer.  Is something else causing this in the system?  Is it broken?	failed_transfer
What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.	pending_transfer
How long do cheques take to post to your account?	balance_not_updated_after_cheque_or_cash_deposit
I could not transfer to a beneficiary	beneficiary_not_allowed
Would I be able to get an account for my child?	age_limit
I inadvertently completed a transaction on a wrong account.	cancel_transfer
Are there limits with top-up?	top_up_limits
Why was there an additional fee on the payment I just made? I don't usually have additional fees applied to my payments.	card_payment_fee_charged
